9,31,40,32,11,1,20,33,29,10,36,16,3,35,27,25,6,21,24,26,12,15,4,22,2,38,7,28,39,19,18,17,37,13,34,23,30,14,8,5,Control
0.150124034,-0.067118622,0.018582277,0.006738415,-0.003650217,0.014332867,0.025806804,0.001443993,0.011963641,0.003512473,-0.012555987,0.02624978,0.002221949,-0.022877844,0.007978055,-0.023469084,-0.033823266,-0.029708922,-0.010143958,0.038290306,0.011328675,-0.013023238,0.033778485,-0.018536864,-0.078168558,-0.033322703,-0.020044263,0.02123211,-0.047118907,0.025854667,-0.008172918,0.011407857,0.027480755,0.012461346,0.021730434,-0.020692458,-0.019055577,-0.00834762,-0.007842046,-0.056840315,-0.018281919
0.148881539,-0.052099167,-0.005352571,0.02586094,0.001833284,-0.013107536,0.039400551,-0.017235138,0.037575652,0.013593432,-0.025970364,0.002011024,-0.006198649,0.005417668,-0.010712897,-0.036559511,-0.036581008,0.005267234,-0.018913007,0.052453057,-0.020109408,-0.031262818,0.012013249,-0.016145623,-0.072534681,-0.002063976,-0.006711105,0.00083653,-0.054493167,-0.005500237,-0.012775481,0.000438563,0.003619824,-0.018054964,0.010268571,0.003440254,0.012182294,-0.003918113,0.001936419,-0.044516946,0.006204979
0.045986091,-0.030350403,0.010983287,0.03331872,0.001105402,-0.00348035,-0.005281785,0.001402068,0.00831335,0.021976601,-0.019065762,0.078766413,-0.000129298,-0.012106497,0.005078176,-0.005875195,-0.011060072,-0.000746942,0.009588827,0.006940069,-0.021774541,-0.005248317,0.004277077,-0.013294535,-0.059151458,-0.004408282,-0.001323582,0.002906283,-0.100387807,0.010050324,0.009926434,0.007876488,0.004692349,0.016339467,0.019807357,-0.00138751,0.0188934,-0.004160036,0.008528101,-0.008349168,-0.012784252
0.083445186,-0.039232793,-0.015025287,0.026840069,-0.009041603,-0.008270467,-0.004648723,0.021821856,0.004583582,0.021428466,0.009808174,0.076258248,0.007665708,-0.009225192,0.023997682,0.014118835,-0.018717542,0.001718112,-0.003669817,-0.002297626,-0.007364029,-0.00494122,0.003372264,-0.03178431,-0.054889127,-2.81E-06,0.006278087,-0.006156065,-0.068515852,-0.045698916,-0.009181648,0.021718407,0.01417944,0.012739988,0.020009767,-0.020608323,0.025604756,0.000719991,0.009172658,0.002251316,0.016518238
0.085339564,-0.044013758,-0.001492672,0.03418237,-0.003868122,0.004162808,0.01086565,0.029643316,-0.005308166,0.017913542,0.016267878,0.09847933,-0.012487313,-0.019332935,0.026257409,0.001623027,0.017940895,0.00160174,0.008497263,0.015093656,-0.011365528,-0.000520928,0.022564188,-0.055502395,-0.083964989,-0.008144463,-0.003331274,-0.01671158,-0.08072435,-0.022143269,0.008280745,-0.002794605,0.006661362,0.00967147,-0.001609591,0.021116605,0.085382708,-0.000411173,0.003854811,-0.018147807,0.018126462
-0.001454303,0.01168209,0.023363849,-0.018718926,0.017924429,0.020567703,0.074582689,-0.029595937,-0.001730551,0.041865431,0.023672127,-0.044107029,-0.002150848,0.030689524,0.015656872,0.001366319,-0.014173198,0.014489603,0.024980056,0.015252362,-0.009617517,0.019873655,0.00483799,0.020698791,0.051030625,0.015526877,-0.025882075,0.10166998,0.015331164,-0.005778077,0.013412106,0.064464216,0.045884392,0.064870614,-0.013404584,0.066339557,0.240475455,0.026979387,0.104959255,0.017122798,0.104438305
0.001128015,0.049800075,0.018841602,-0.052232631,0.022227339,0.064526994,0.062712778,-0.04919114,0.039809007,0.041506954,0.030386255,-0.059505607,0.017151461,0.008773963,0.045567825,-0.039427676,-0.01796569,0.039358399,0.058674434,0.057162515,-0.002078148,0.023082048,0.011142255,0.017977482,0.002644326,0.010721565,-0.022813392,0.095420844,0.030684526,0.014291536,0.077911038,0.083924896,0.012954255,0.052181399,-0.014866269,0.085400798,0.222309638,-0.002156338,0.117159689,-0.027067814,0.069462548
0.088203238,-0.008084993,0.0218836,0.036429203,0.001891255,-0.001493317,-0.007239089,-0.025380274,0.019613826,0.020242278,0.010220488,0.100313417,0.011342453,0.014512951,0.014724164,-0.017249742,-0.021122282,0.035832645,-0.000393211,-0.030289223,0.000633372,-0.006032618,-0.006319883,0.006725807,-0.081584632,-0.013888643,-0.009933424,0.031027299,-0.060647813,-0.02716349,-0.006959998,0.010524962,-0.016145213,-0.011528455,-0.004948688,-0.030307603,-0.001627762,-0.004485447,0.035873821,-0.028089998,0.001297473
0.125962075,0.004720683,0.02949146,0.019726046,0.015896376,0.029029794,0.013670282,0.018755719,0.009933624,0.021245551,-0.019714472,0.046770594,0.023291269,-0.003717825,-0.012324432,0.006575189,-0.010804078,0.013673465,-0.005413881,0.026282996,0.052642879,0.014941277,0.02303088,0.004394555,0.028415372,-0.007264588,0.034601443,0.02669323,0.039396285,0.041268539,0.01825716,-0.002482312,0.019764546,0.009865423,0.036608461,0.02477856,0.024185845,0.005954945,0.018882102,0.050401461,0.006056281
